DATE,TICKER,SENS,QUANTITE,PRIX,BRUT,FRAIS,NET,RANG,SCORE,VETOS,MOTIF
2025-03-03,BNP.PA,ACHAT,31,64.10259829384464,1987.1805471091836,8.246799270503113,1995.4273463796867,2,4,aucun,"rang 2, score +4, aucun veto"
2025-04-01,ORA.PA,ACHAT,180,11.052695420030757,1989.4851756055361,8.256363478762974,1997.7415390842991,2,5,aucun,"rang 2, score +5, aucun veto"
2025-04-01,DG.PA,ACHAT,18,108.29321257117641,1949.2778262811753,8.089502979066877,1957.367329260242,3,5,aucun,"rang 3, score +5, aucun veto"
2025-04-01,AIR.PA,ACHAT,12,157.0620473270041,1884.7445679240493,2.1674562531126567,1886.912024177162,5,4,aucun,"rang 5, score +4, aucun veto"
2025-09-01,AI.PA,ACHAT,13,157.1215485504434,2042.5801311557643,8.476707544296422,2051.056838700061,5,3,aucun,"rang 5, score +3, aucun veto"
2025-10-01,AI.PA,VENTE,13,157.1037525029075,2042.3487825377974,2.348701099918467,2040.0000814378789,8,-1,aucun,rang 8 au-dela de 7
2025-11-03,DG.PA,VENTE,18,112.40780339053077,2023.3404610295538,2.326841530183987,2021.0136194993697,8,0,veto 1 : moins de 3 épisodes de contact d'un côté,rang 8 au-dela de 7
2025-11-03,OR.PA,ACHAT,5,356.10424295750414,1780.5212147875206,7.389163041368211,1787.9103778288888,4,4,aucun,"rang 4, score +4, aucun veto"
2025-12-01,BNP.PA,VENTE,31,71.56805745732588,2218.6097811771024,2.5514012483536677,2216.0583799287488,8,0,veto 1 : moins de 3 épisodes de contact d'un côté; veto 3 : critères 1 et 2 de signes opposés,rang 8 au-dela de 7
2025-12-01,MC.PA,ACHAT,3,620.2451638309797,1860.735491492939,7.7220522896956965,1868.4575437826347,2,4,aucun,"rang 2, score +4, aucun veto"
2025-12-01,TTE.PA,ACHAT,42,54.386137439690316,2284.217772466993,9.479503755738023,2293.697276222731,5,3,aucun,"rang 5, score +3, aucun veto"
