DATE_ANCRAGE,ISIN,SICOVAM,NOM,TICKER,RETENUE,MOTIF
2010-02-01,FR0000120693,12069,Pernod Ricard,RI.PA,oui,
2010-02-01,FR0000121501,12150,Peugeot S.A.,,non,aucune serie servie sur 2009-2018 (candidat UG.PA)
2010-02-01,FR0000131906,13190,Renault,RNO.PA,oui,
2010-02-01,FR0000125007,12500,SAINT-GOBAIN,SGO.PA,oui,
2010-02-01,FR0000120578,12057,Sanofi,SAN.PA,oui,
2010-02-01,FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA,oui,
2010-02-01,FR0000130809,13080,Société Générale,GLE.PA,oui,
2010-02-01,NL0000226223,12970,STMicroelectronics (Ex-SGS Thomson Microelectronics),STMPA.PA,oui,
2010-02-01,FR0010613471,1061347,Suez,,non,aucune serie servie sur 2009-2018 (candidat SEV.PA)
2010-02-01,FR0000131708,13170,Technip,,non,aucune serie servie sur 2009-2018 (candidat TEC.PA)
2010-02-01,FR0000120271,12027,Total,TTE.PA,oui,
2010-02-01,FR0000124711,12471,Unibail-Rodamco,,non,"aucune serie en euros (candidats UL.PA, URW.AS)"
2010-02-01,FR0000120354,12035,Vallourec,VK.PA,oui,
2010-02-01,FR0000124141,12414,Veolia Environnement,VIE.PA,oui,
2010-02-01,FR0000125486,12548,Vinci,DG.PA,oui,
2010-02-01,FR0000127771,12777,Vivendi,VIV.PA,oui,
2010-03-01,FR0000120404,12040,ACCOR,AC.PA,oui,
2010-03-01,FR0000120073,12007,AIR LIQUIDE,AI.PA,oui,
2010-03-01,NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA,oui,
2010-03-01,FR0000130007,13000,ALCATEL,,non,aucune serie servie sur 2009-2018 (candidat ALU.PA)
2010-03-01,FR0010220475,1022047,Alstom,ALO.PA,oui,
2010-03-01,LU0323134006,32313400,ArcelorMittal,MT.AS,oui,
2010-03-01,FR0000120628,12062,Axa,CS.PA,oui,
2010-03-01,FR0000131104,13110,BNP,BNP.PA,oui,
2010-03-01,FR0000120503,12050,BOUYGUES,EN.PA,oui,
2010-03-01,FR0000125338,12533,Cap Gémini,CAP.PA,oui,
2010-03-01,FR0000120172,12017,CARREFOUR,CA.PA,oui,
2010-03-01,FR0000045072,4507,CREDIT AGRICOLE,ACA.PA,oui,
2010-03-01,FR0000120644,12064,DANONE,BN.PA,oui,
2010-03-01,BE0003796134,12822,Dexia (Ex-Dexia Belgium),,non,aucune serie servie sur 2009-2018 (candidat DEXB.BR)
2010-03-01,FR0010242511,1024251,EDF,,non,aucune serie servie sur 2009-2018 (candidat EDF.PA)
2010-03-01,FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA,oui,
2010-03-01,FR0000121667,12166,EssilorLuxottica,EL.PA,oui,
2010-03-01,FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA,oui,
2010-03-01,FR0000120321,12032,L'Oréal,OR.PA,oui,
2010-03-01,FR0000120537,12053,LafargeHolcim,,non,"servie en CHF seulement (HOLN.SW, 2514 seances)"
2010-03-01,FR0000130213,13021,Lagardère,MMB.PA,oui,
2010-03-01,FR0000121014,12101,LVMH MOET HENESSY,MC.PA,oui,
2010-03-01,FR0000121261,12126,Michelin B,ML.PA,oui,
2010-03-01,FR0000133308,13330,Orange (ex: France Télécom),ORA.PA,oui,
2010-03-01,FR0000120693,12069,Pernod Ricard,RI.PA,oui,
2010-03-01,FR0000121501,12150,Peugeot S.A.,,non,aucune serie servie sur 2009-2018 (candidat UG.PA)
2010-03-01,FR0000131906,13190,Renault,RNO.PA,oui,
2010-03-01,FR0000125007,12500,SAINT-GOBAIN,SGO.PA,oui,
2010-03-01,FR0000120578,12057,Sanofi,SAN.PA,oui,
2010-03-01,FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA,oui,
2010-03-01,FR0000130809,13080,Société Générale,GLE.PA,oui,
2010-03-01,NL0000226223,12970,STMicroelectronics (Ex-SGS Thomson Microelectronics),STMPA.PA,oui,
2010-03-01,FR0010613471,1061347,Suez,,non,aucune serie servie sur 2009-2018 (candidat SEV.PA)
2010-03-01,FR0000131708,13170,Technip,,non,aucune serie servie sur 2009-2018 (candidat TEC.PA)
2010-03-01,FR0000120271,12027,Total,TTE.PA,oui,
2010-03-01,FR0000124711,12471,Unibail-Rodamco,,non,"aucune serie en euros (candidats UL.PA, URW.AS)"
2010-03-01,FR0000120354,12035,Vallourec,VK.PA,oui,
2010-03-01,FR0000124141,12414,Veolia Environnement,VIE.PA,oui,
2010-03-01,FR0000125486,12548,Vinci,DG.PA,oui,
2010-03-01,FR0000127771,12777,Vivendi,VIV.PA,oui,
2010-03-29,FR0000120404,12040,ACCOR,AC.PA,oui,
2010-03-29,FR0000120073,12007,AIR LIQUIDE,AI.PA,oui,
2010-03-29,NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA,oui,
2010-03-29,FR0000130007,13000,ALCATEL,,non,aucune serie servie sur 2009-2018 (candidat ALU.PA)
2010-03-29,FR0010220475,1022047,Alstom,ALO.PA,oui,
2010-03-29,LU0323134006,32313400,ArcelorMittal,MT.AS,oui,
2010-03-29,FR0000120628,12062,Axa,CS.PA,oui,
2010-03-29,FR0000131104,13110,BNP,BNP.PA,oui,
2010-03-29,FR0000120503,12050,BOUYGUES,EN.PA,oui,
2010-03-29,FR0000125338,12533,Cap Gémini,CAP.PA,oui,
2010-03-29,FR0000120172,12017,CARREFOUR,CA.PA,oui,
2010-03-29,FR0000045072,4507,CREDIT AGRICOLE,ACA.PA,oui,
2010-03-29,FR0000120644,12064,DANONE,BN.PA,oui,
2010-03-29,BE0003796134,12822,Dexia (Ex-Dexia Belgium),,non,aucune serie servie sur 2009-2018 (candidat DEXB.BR)
2010-03-29,FR0010242511,1024251,EDF,,non,aucune serie servie sur 2009-2018 (candidat EDF.PA)
2010-03-29,FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA,oui,
2010-03-29,FR0000121667,12166,EssilorLuxottica,EL.PA,oui,
2010-03-29,FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA,oui,
2010-03-29,FR0000120321,12032,L'Oréal,OR.PA,oui,
2010-03-29,FR0000120537,12053,LafargeHolcim,,non,"servie en CHF seulement (HOLN.SW, 2514 seances)"
2010-03-29,FR0000130213,13021,Lagardère,MMB.PA,oui,
2010-03-29,FR0000121014,12101,LVMH MOET HENESSY,MC.PA,oui,
2010-03-29,FR0000121261,12126,Michelin B,ML.PA,oui,
2010-03-29,FR0000133308,13330,Orange (ex: France Télécom),ORA.PA,oui,
2010-03-29,FR0000120693,12069,Pernod Ricard,RI.PA,oui,
2010-03-29,FR0000121501,12150,Peugeot S.A.,,non,aucune serie servie sur 2009-2018 (candidat UG.PA)
2010-03-29,FR0000131906,13190,Renault,RNO.PA,oui,
2010-03-29,FR0000125007,12500,SAINT-GOBAIN,SGO.PA,oui,
2010-03-29,FR0000120578,12057,Sanofi,SAN.PA,oui,
2010-03-29,FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA,oui,
2010-03-29,FR0000130809,13080,Société Générale,GLE.PA,oui,
2010-03-29,NL0000226223,12970,STMicroelectronics (Ex-SGS Thomson Microelectronics),STMPA.PA,oui,
2010-03-29,FR0010613471,1061347,Suez,,non,aucune serie servie sur 2009-2018 (candidat SEV.PA)
2010-03-29,FR0000131708,13170,Technip,,non,aucune serie servie sur 2009-2018 (candidat TEC.PA)
2010-03-29,FR0000120271,12027,Total,TTE.PA,oui,
2010-03-29,FR0000124711,12471,Unibail-Rodamco,,non,"aucune serie en euros (candidats UL.PA, URW.AS)"
2010-03-29,FR0000120354,12035,Vallourec,VK.PA,oui,
2010-03-29,FR0000124141,12414,Veolia Environnement,VIE.PA,oui,
2010-03-29,FR0000125486,12548,Vinci,DG.PA,oui,
2010-03-29,FR0000127771,12777,Vivendi,VIV.PA,oui,
2010-04-28,FR0000120404,12040,ACCOR,AC.PA,oui,
2010-04-28,FR0000120073,12007,AIR LIQUIDE,AI.PA,oui,
2010-04-28,NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA,oui,
2010-04-28,FR0000130007,13000,ALCATEL,,non,aucune serie servie sur 2009-2018 (candidat ALU.PA)
2010-04-28,FR0010220475,1022047,Alstom,ALO.PA,oui,
2010-04-28,LU0323134006,32313400,ArcelorMittal,MT.AS,oui,
2010-04-28,FR0000120628,12062,Axa,CS.PA,oui,
2010-04-28,FR0000131104,13110,BNP,BNP.PA,oui,
2010-04-28,FR0000120503,12050,BOUYGUES,EN.PA,oui,
2010-04-28,FR0000125338,12533,Cap Gémini,CAP.PA,oui,
2010-04-28,FR0000120172,12017,CARREFOUR,CA.PA,oui,
2010-04-28,FR0000045072,4507,CREDIT AGRICOLE,ACA.PA,oui,
2010-04-28,FR0000120644,12064,DANONE,BN.PA,oui,
2010-04-28,BE0003796134,12822,Dexia (Ex-Dexia Belgium),,non,aucune serie servie sur 2009-2018 (candidat DEXB.BR)
2010-04-28,FR0010242511,1024251,EDF,,non,aucune serie servie sur 2009-2018 (candidat EDF.PA)
2010-04-28,FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA,oui,
2010-04-28,FR0000121667,12166,EssilorLuxottica,EL.PA,oui,
2010-04-28,FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA,oui,
2010-04-28,FR0000120321,12032,L'Oréal,OR.PA,oui,
2010-04-28,FR0000120537,12053,LafargeHolcim,,non,"servie en CHF seulement (HOLN.SW, 2514 seances)"
2010-04-28,FR0000130213,13021,Lagardère,MMB.PA,oui,
2010-04-28,FR0000121014,12101,LVMH MOET HENESSY,MC.PA,oui,
2010-04-28,FR0000121261,12126,Michelin B,ML.PA,oui,
2010-04-28,FR0000133308,13330,Orange (ex: France Télécom),ORA.PA,oui,
2010-04-28,FR0000120693,12069,Pernod Ricard,RI.PA,oui,
2010-04-28,FR0000121501,12150,Peugeot S.A.,,non,aucune serie servie sur 2009-2018 (candidat UG.PA)
2010-04-28,FR0000131906,13190,Renault,RNO.PA,oui,
2010-04-28,FR0000125007,12500,SAINT-GOBAIN,SGO.PA,oui,
2010-04-28,FR0000120578,12057,Sanofi,SAN.PA,oui,
2010-04-28,FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA,oui,
2010-04-28,FR0000130809,13080,Société Générale,GLE.PA,oui,
2010-04-28,NL0000226223,12970,STMicroelectronics (Ex-SGS Thomson Microelectronics),STMPA.PA,oui,
2010-04-28,FR0010613471,1061347,Suez,,non,aucune serie servie sur 2009-2018 (candidat SEV.PA)
2010-04-28,FR0000131708,13170,Technip,,non,aucune serie servie sur 2009-2018 (candidat TEC.PA)
2010-04-28,FR0000120271,12027,Total,TTE.PA,oui,
2010-04-28,FR0000124711,12471,Unibail-Rodamco,,non,"aucune serie en euros (candidats UL.PA, URW.AS)"
2010-04-28,FR0000120354,12035,Vallourec,VK.PA,oui,
2010-04-28,FR0000124141,12414,Veolia Environnement,VIE.PA,oui,
2010-04-28,FR0000125486,12548,Vinci,DG.PA,oui,
2010-04-28,FR0000127771,12777,Vivendi,VIV.PA,oui,
2010-05-26,FR0000120404,12040,ACCOR,AC.PA,oui,
2010-05-26,FR0000120073,12007,AIR LIQUIDE,AI.PA,oui,
2010-05-26,NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA,oui,
2010-05-26,FR0000130007,13000,ALCATEL,,non,aucune serie servie sur 2009-2018 (candidat ALU.PA)
2010-05-26,FR0010220475,1022047,Alstom,ALO.PA,oui,
2010-05-26,LU0323134006,32313400,ArcelorMittal,MT.AS,oui,
2010-05-26,FR0000120628,12062,Axa,CS.PA,oui,
2010-05-26,FR0000131104,13110,BNP,BNP.PA,oui,
2010-05-26,FR0000120503,12050,BOUYGUES,EN.PA,oui,
2010-05-26,FR0000125338,12533,Cap Gémini,CAP.PA,oui,
2010-05-26,FR0000120172,12017,CARREFOUR,CA.PA,oui,
2010-05-26,FR0000045072,4507,CREDIT AGRICOLE,ACA.PA,oui,
2010-05-26,FR0000120644,12064,DANONE,BN.PA,oui,
2010-05-26,BE0003796134,12822,Dexia (Ex-Dexia Belgium),,non,aucune serie servie sur 2009-2018 (candidat DEXB.BR)
2010-05-26,FR0010242511,1024251,EDF,,non,aucune serie servie sur 2009-2018 (candidat EDF.PA)
2010-05-26,FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA,oui,
2010-05-26,FR0000121667,12166,EssilorLuxottica,EL.PA,oui,
2010-05-26,FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA,oui,
2010-05-26,FR0000120321,12032,L'Oréal,OR.PA,oui,
2010-05-26,FR0000120537,12053,LafargeHolcim,,non,"servie en CHF seulement (HOLN.SW, 2514 seances)"
2010-05-26,FR0000130213,13021,Lagardère,MMB.PA,oui,
2010-05-26,FR0000121014,12101,LVMH MOET HENESSY,MC.PA,oui,
2010-05-26,FR0000121261,12126,Michelin B,ML.PA,oui,
2010-05-26,FR0000133308,13330,Orange (ex: France Télécom),ORA.PA,oui,
2010-05-26,FR0000120693,12069,Pernod Ricard,RI.PA,oui,
2010-05-26,FR0000121501,12150,Peugeot S.A.,,non,aucune serie servie sur 2009-2018 (candidat UG.PA)
2010-05-26,FR0000131906,13190,Renault,RNO.PA,oui,
2010-05-26,FR0000125007,12500,SAINT-GOBAIN,SGO.PA,oui,
2010-05-26,FR0000120578,12057,Sanofi,SAN.PA,oui,
2010-05-26,FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA,oui,
2010-05-26,FR0000130809,13080,Société Générale,GLE.PA,oui,
2010-05-26,NL0000226223,12970,STMicroelectronics (Ex-SGS Thomson Microelectronics),STMPA.PA,oui,
2010-05-26,FR0010613471,1061347,Suez,,non,aucune serie servie sur 2009-2018 (candidat SEV.PA)
2010-05-26,FR0000131708,13170,Technip,,non,aucune serie servie sur 2009-2018 (candidat TEC.PA)
2010-05-26,FR0000120271,12027,Total,TTE.PA,oui,
2010-05-26,FR0000124711,12471,Unibail-Rodamco,,non,"aucune serie en euros (candidats UL.PA, URW.AS)"
2010-05-26,FR0000120354,12035,Vallourec,VK.PA,oui,
2010-05-26,FR0000124141,12414,Veolia Environnement,VIE.PA,oui,
2010-05-26,FR0000125486,12548,Vinci,DG.PA,oui,
2010-05-26,FR0000127771,12777,Vivendi,VIV.PA,oui,
2010-06-23,FR0000120404,12040,ACCOR,AC.PA,oui,
2010-06-23,FR0000120073,12007,AIR LIQUIDE,AI.PA,oui,
2010-06-23,NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA,oui,
2010-06-23,FR0000130007,13000,ALCATEL,,non,aucune serie servie sur 2009-2018 (candidat ALU.PA)
2010-06-23,FR0010220475,1022047,Alstom,ALO.PA,oui,
2010-06-23,LU0323134006,32313400,ArcelorMittal,MT.AS,oui,
2010-06-23,FR0000120628,12062,Axa,CS.PA,oui,
2010-06-23,FR0000131104,13110,BNP,BNP.PA,oui,
2010-06-23,FR0000120503,12050,BOUYGUES,EN.PA,oui,
2010-06-23,FR0000125338,12533,Cap Gémini,CAP.PA,oui,
2010-06-23,FR0000120172,12017,CARREFOUR,CA.PA,oui,
2010-06-23,FR0000045072,4507,CREDIT AGRICOLE,ACA.PA,oui,
2010-06-23,FR0000120644,12064,DANONE,BN.PA,oui,
2010-06-23,BE0003796134,12822,Dexia (Ex-Dexia Belgium),,non,aucune serie servie sur 2009-2018 (candidat DEXB.BR)
2010-06-23,FR0010242511,1024251,EDF,,non,aucune serie servie sur 2009-2018 (candidat EDF.PA)
2010-06-23,FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA,oui,
2010-06-23,FR0000121667,12166,EssilorLuxottica,EL.PA,oui,
2010-06-23,FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA,oui,
2010-06-23,FR0000120321,12032,L'Oréal,OR.PA,oui,
2010-06-23,FR0000120537,12053,LafargeHolcim,,non,"servie en CHF seulement (HOLN.SW, 2514 seances)"
2010-06-23,FR0000130213,13021,Lagardère,MMB.PA,oui,
2010-06-23,FR0000121014,12101,LVMH MOET HENESSY,MC.PA,oui,
2010-06-23,FR0000121261,12126,Michelin B,ML.PA,oui,
2010-06-23,FR0000133308,13330,Orange (ex: France Télécom),ORA.PA,oui,
2010-06-23,FR0000120693,12069,Pernod Ricard,RI.PA,oui,
2010-06-23,FR0000121501,12150,Peugeot S.A.,,non,aucune serie servie sur 2009-2018 (candidat UG.PA)
2010-06-23,FR0000131906,13190,Renault,RNO.PA,oui,
2010-06-23,FR0000125007,12500,SAINT-GOBAIN,SGO.PA,oui,
2010-06-23,FR0000120578,12057,Sanofi,SAN.PA,oui,
2010-06-23,FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA,oui,
2010-06-23,FR0000130809,13080,Société Générale,GLE.PA,oui,
2010-06-23,NL0000226223,12970,STMicroelectronics (Ex-SGS Thomson Microelectronics),STMPA.PA,oui,
2010-06-23,FR0010613471,1061347,Suez,,non,aucune serie servie sur 2009-2018 (candidat SEV.PA)
2010-06-23,FR0000131708,13170,Technip,,non,aucune serie servie sur 2009-2018 (candidat TEC.PA)
2010-06-23,FR0000120271,12027,Total,TTE.PA,oui,
2010-06-23,FR0000124711,12471,Unibail-Rodamco,,non,"aucune serie en euros (candidats UL.PA, URW.AS)"
2010-06-23,FR0000120354,12035,Vallourec,VK.PA,oui,
2010-06-23,FR0000124141,12414,Veolia Environnement,VIE.PA,oui,
2010-06-23,FR0000125486,12548,Vinci,DG.PA,oui,
2010-06-23,FR0000127771,12777,Vivendi,VIV.PA,oui,
2010-07-21,FR0000120404,12040,ACCOR,AC.PA,oui,
2010-07-21,FR0000120073,12007,AIR LIQUIDE,AI.PA,oui,
2010-07-21,NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA,oui,
2010-07-21,FR0000130007,13000,ALCATEL,,non,aucune serie servie sur 2009-2018 (candidat ALU.PA)
2010-07-21,FR0010220475,1022047,Alstom,ALO.PA,oui,
2010-07-21,LU0323134006,32313400,ArcelorMittal,MT.AS,oui,
2010-07-21,FR0000120628,12062,Axa,CS.PA,oui,
2010-07-21,FR0000131104,13110,BNP,BNP.PA,oui,
2010-07-21,FR0000120503,12050,BOUYGUES,EN.PA,oui,
2010-07-21,FR0000125338,12533,Cap Gémini,CAP.PA,oui,
2010-07-21,FR0000120172,12017,CARREFOUR,CA.PA,oui,
2010-07-21,FR0000045072,4507,CREDIT AGRICOLE,ACA.PA,oui,
2010-07-21,FR0000120644,12064,DANONE,BN.PA,oui,
2010-07-21,BE0003796134,12822,Dexia (Ex-Dexia Belgium),,non,aucune serie servie sur 2009-2018 (candidat DEXB.BR)
2010-07-21,FR0010242511,1024251,EDF,,non,aucune serie servie sur 2009-2018 (candidat EDF.PA)
2010-07-21,FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA,oui,
2010-07-21,FR0000121667,12166,EssilorLuxottica,EL.PA,oui,
2010-07-21,FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA,oui,
2010-07-21,FR0000120321,12032,L'Oréal,OR.PA,oui,
2010-07-21,FR0000120537,12053,LafargeHolcim,,non,"servie en CHF seulement (HOLN.SW, 2514 seances)"
2010-07-21,FR0000130213,13021,Lagardère,MMB.PA,oui,
2010-07-21,FR0000121014,12101,LVMH MOET HENESSY,MC.PA,oui,
2010-07-21,FR0000121261,12126,Michelin B,ML.PA,oui,
2010-07-21,FR0000133308,13330,Orange (ex: France Télécom),ORA.PA,oui,
2010-07-21,FR0000120693,12069,Pernod Ricard,RI.PA,oui,
2010-07-21,FR0000121501,12150,Peugeot S.A.,,non,aucune serie servie sur 2009-2018 (candidat UG.PA)
2010-07-21,FR0000131906,13190,Renault,RNO.PA,oui,
2010-07-21,FR0000125007,12500,SAINT-GOBAIN,SGO.PA,oui,
2010-07-21,FR0000120578,12057,Sanofi,SAN.PA,oui,
2010-07-21,FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA,oui,
2010-07-21,FR0000130809,13080,Société Générale,GLE.PA,oui,
2010-07-21,NL0000226223,12970,STMicroelectronics (Ex-SGS Thomson Microelectronics),STMPA.PA,oui,
2010-07-21,FR0010613471,1061347,Suez,,non,aucune serie servie sur 2009-2018 (candidat SEV.PA)
2010-07-21,FR0000131708,13170,Technip,,non,aucune serie servie sur 2009-2018 (candidat TEC.PA)
2010-07-21,FR0000120271,12027,Total,TTE.PA,oui,
2010-07-21,FR0000124711,12471,Unibail-Rodamco,,non,"aucune serie en euros (candidats UL.PA, URW.AS)"
2010-07-21,FR0000120354,12035,Vallourec,VK.PA,oui,
2010-07-21,FR0000124141,12414,Veolia Environnement,VIE.PA,oui,
2010-07-21,FR0000125486,12548,Vinci,DG.PA,oui,
2010-07-21,FR0000127771,12777,Vivendi,VIV.PA,oui,
2010-08-18,FR0000120404,12040,ACCOR,AC.PA,oui,
2010-08-18,FR0000120073,12007,AIR LIQUIDE,AI.PA,oui,
2010-08-18,NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA,oui,
2010-08-18,FR0000130007,13000,ALCATEL,,non,aucune serie servie sur 2009-2018 (candidat ALU.PA)
2010-08-18,FR0010220475,1022047,Alstom,ALO.PA,oui,
2010-08-18,LU0323134006,32313400,ArcelorMittal,MT.AS,oui,
2010-08-18,FR0000120628,12062,Axa,CS.PA,oui,
2010-08-18,FR0000131104,13110,BNP,BNP.PA,oui,
2010-08-18,FR0000120503,12050,BOUYGUES,EN.PA,oui,
2010-08-18,FR0000125338,12533,Cap Gémini,CAP.PA,oui,
2010-08-18,FR0000120172,12017,CARREFOUR,CA.PA,oui,
2010-08-18,FR0000045072,4507,CREDIT AGRICOLE,ACA.PA,oui,
2010-08-18,FR0000120644,12064,DANONE,BN.PA,oui,
2010-08-18,BE0003796134,12822,Dexia (Ex-Dexia Belgium),,non,aucune serie servie sur 2009-2018 (candidat DEXB.BR)
2010-08-18,FR0010242511,1024251,EDF,,non,aucune serie servie sur 2009-2018 (candidat EDF.PA)
2010-08-18,FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA,oui,
2010-08-18,FR0000121667,12166,EssilorLuxottica,EL.PA,oui,
2010-08-18,FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA,oui,
2010-08-18,FR0000120321,12032,L'Oréal,OR.PA,oui,
