DATE,DATE_DECISION,TICKER,SENS,RANG_SERVICE,QUANTITE,PRIX_REEL,BRUT,FRAIS,NET,ECART_S,TAUX_20,MOTIF
2022-03-07,2022-03-04,AI.PA,ACHAT,1,7,127.6119,893.2836,3.7071,896.9907,-2.1591,0.0528,"AI.PA : clôture 98,10 sous le bord bas 101,79 (-2,16 s), TAUX_20 +0,053 %/séance"
2022-03-28,2022-03-25,AI.PA,VENTE,1,7,144.8213,1013.7493,1.1658,-1.1658,1.3588,0.4046,"AI.PA : clôture 108,07 au-dessus du bord haut 106,89 (+1,36 s)"
2022-03-28,2022-03-25,ENGI.PA,ACHAT,1,126,7.9742,1004.7432,4.1697,1008.9129,-1.3849,0.0172,"ENGI.PA : clôture 7,97 sous le bord bas 8,22 (-1,38 s), TAUX_20 +0,017 %/séance"
2022-05-23,2022-05-20,ENGI.PA,VENTE,1,126,9.3266,1175.1474,1.3514,-1.3514,1.8641,0.4506,"ENGI.PA : clôture 9,19 au-dessus du bord haut 8,68 (+1,86 s)"
2022-07-11,2022-07-08,ORA.PA,ACHAT,1,123,8.2781,1018.2036,4.2255,1022.4291,-2.8861,0.0467,"ORA.PA : clôture 8,28 sous le bord bas 8,66 (-2,89 s), TAUX_20 +0,047 %/séance"
2022-07-25,2022-07-22,ORA.PA,REGLE-4,1,128,7.9341,1015.5692,4.2146,1019.7838,-3.1473,-0.5438,"ORA.PA : clôture 7,91 sous le seuil de la règle 4 (-3,15 s dans la bande)"
2022-10-31,2022-10-28,ORA.PA,VENTE,1,251,7.4901,1880.0243,2.162,-2.162,1.2811,0.1147,"ORA.PA : clôture 7,46 au-dessus du bord haut 7,41 (+1,28 s)"
2023-03-13,2023-03-10,SAF.PA,ACHAT,1,7,128.1309,896.916,3.7222,900.6382,-1.6196,0.0903,"SAF.PA : clôture 127,92 sous le bord bas 129,80 (-1,62 s), TAUX_20 +0,090 %/séance"
2023-03-20,2023-03-17,SAF.PA,REGLE-4,1,8,122.5133,980.1062,4.0674,984.1736,-2.9179,-0.197,"SAF.PA : clôture 123,07 sous le seuil de la règle 4 (-2,92 s dans la bande)"
2023-04-11,2023-04-06,KER.PA,ACHAT,1,2,503.8976,1007.7951,4.1823,1011.9775,-1.1919,0.2758,"KER.PA : clôture 500,56 sous le bord bas 505,30 (-1,19 s), TAUX_20 +0,276 %/séance"
2023-05-29,2023-05-26,KER.PA,REGLE-4,1,2,477.1077,954.2155,3.96,958.1755,-2.0509,-0.4975,"KER.PA : clôture 474,36 sous le seuil de la règle 4 (-2,05 s dans la bande)"
2023-06-26,2023-06-23,AI.PA,ACHAT,1,6,150.0092,900.0554,3.7352,903.7906,-1.8188,0.1155,"AI.PA : clôture 123,87 sous le bord bas 125,69 (-1,82 s), TAUX_20 +0,115 %/séance"
2023-06-26,2023-06-23,ENGI.PA,ACHAT,2,88,11.3573,999.4445,4.1477,1003.5922,-1.673,0.0893,"ENGI.PA : clôture 11,28 sous le bord bas 11,51 (-1,67 s), TAUX_20 +0,089 %/séance"
2023-07-10,2023-07-07,AI.PA,REGLE-4,1,6,146.172,877.0323,3.6397,880.6719,-3.0899,-0.0296,"AI.PA : clôture 120,90 sous le seuil de la règle 4 (-3,09 s dans la bande)"
2023-07-10,2023-07-07,ORA.PA,ACHAT,2,115,8.6575,995.6074,4.1318,999.7392,-1.6658,0.1563,"ORA.PA : clôture 8,65 sous le bord bas 8,91 (-1,67 s), TAUX_20 +0,156 %/séance"
2023-07-17,2023-07-14,ORA.PA,RENFORT,1,231,8.7663,2025.0109,8.4038,2033.4147,-1.1095,0.074,"ORA.PA : renforcement, clôture 8,78 encore sous le bord bas (-1,11 s), TAUX_20 +0,074 %/séance"
2023-07-24,2023-07-21,KER.PA,VENTE,1,4,493.9673,1975.8692,2.2722,-2.2722,2.3244,0.2321,"KER.PA : clôture 495,98 au-dessus du bord haut 474,60 (+2,32 s)"
2023-07-31,2023-07-28,SAF.PA,VENTE,1,15,145.8035,2187.0528,2.5151,-2.5151,2.853,0.3677,"SAF.PA : clôture 145,65 au-dessus du bord haut 140,56 (+2,85 s)"
2023-09-11,2023-09-08,ORA.PA,VENTE,1,346,9.081,3142.0384,3.6133,-3.6133,1.8883,0.2213,"ORA.PA : clôture 9,04 au-dessus du bord haut 8,83 (+1,89 s)"
2023-09-18,2023-09-15,AI.PA,VENTE,1,12,158.4208,1901.0495,2.1862,-2.1862,1.3934,0.1533,"AI.PA : clôture 131,27 au-dessus du bord haut 130,46 (+1,39 s)"
2023-10-23,2023-10-20,SAF.PA,ACHAT,1,7,140.6924,984.8465,4.0871,988.9336,-1.9432,0.0858,"SAF.PA : clôture 140,31 sous le bord bas 142,97 (-1,94 s), TAUX_20 +0,086 %/séance"
2023-10-30,2023-10-27,SAF.PA,RENFORT,1,14,143.3834,2007.3682,8.3306,2015.6987,-1.3563,0.0944,"SAF.PA : renforcement, clôture 141,97 encore sous le bord bas (-1,36 s), TAUX_20 +0,094 %/séance"
